1.5524, -0.0164, 0.0001, 0.0000, 0.5966, 0.0087, 0.0001, -0.0001,
-0.0167, 1.5511, -0.0002, -0.0001, 0.0088, 0.5959, -0.0002, 0.0001,
0.0000, -0.0002, 1.6779, 0.0001, 0.0001, -0.0002, 0.6649, 0.0001,
-0.0001, 0.0001, 0.0001, 1.1095, -0.0001, 0.0001, 0.0000, 0.5447,
1.5523, 0.0172, 0.0001, 0.0000, 0.5964, -0.0089, 0.0001, -0.0001,
0.0169, 1.5508, -0.0003, -0.0001, -0.0089, 0.5958, -0.0002, 0.0001,
0.0000, -0.0002, 1.6778, 0.0001, 0.0000, -0.0001, 0.6649, 0.0001,
-0.0000, 0.0000, 0.0001, 1.1154, -0.0001, 0.0001, 0.0000, 0.5424,
1.5521, 0.0172, 0.0001, -0.0000, 0.5963, -0.0089, 0.0001, -0.0001,
0.0169, 1.5509, -0.0002, -0.0001, -0.0088, 0.5958, -0.0002, 0.0001,
-0.0000, -0.0002, 1.6779, 0.0001, 0.0000, -0.0002, 0.6650, 0.0001,
-0.0000, 0.0001, 0.0001, 1.1148, -0.0001, 0.0002, 0.0001, 0.5427,
1.5524, -0.0161, 0.0002, 0.0000, 0.5961, 0.0088, 0.0001, -0.0001,
-0.0162, 1.5512, -0.0002, -0.0001, 0.0089, 0.5956, -0.0002, 0.0001,
0.0000, -0.0002, 1.6775, 0.0001, 0.0001, -0.0002, 0.6646, 0.0001,
-0.0001, 0.0000, 0.0001, 1.1160, -0.0001, 0.0001, 0.0001, 0.5426,
